host_unix,host_time,seq,up_ms,temp_c,press_hpa,alt_baro_m,alt_fused_m,vel_m_s,az_m_s2,lax_m_s2,lay_m_s2,laz_m_s2,gx_m_s2,gy_m_s2,gz_m_s2,heading,roll,pitch,calib,vstate,elev,servo_deg
1782883804.862032,14:30:04.862,9232,130.445,0.38,202495.05,504030.209,-1559645.696,754975.114,-150994.942,0.001,-20.224,0.001,-1.28,-0.001,-22.785,98.65,-243.2,135.63,1,1,216,102.5
1782883804.862047,14:30:04.862,9233,140.775,-237.99,7549751.14,-83886.078,-1325400.063,285212.673,-1509949.44,9.865,-24.32,13.563,0.257,2.762,0.05,24.82,-300.45,0.01,45,2,0,20.48
1782883804.862389,14:30:04.862,9236,95.267,24.82,1010.27,0.557,0.524,0.325,0.022,-30.298,0.038,-1.119,0.308,-12.543,2.57,455.68,-237.99,3.94,0,45,2,0.0
1782883804.862406,14:30:04.862,9237,95.794,0.0,3.25,0.013,2525.606,20249.505,336250.113,-19.968,-23.799,0.394,11.52,0.002,4.608,0.02,176.64,0.01,0,223,255,-0.01
1782883804.862419,14:30:04.862,9238,130.505,0.38,202495.05,504019.713,-1559645.696,754975.114,352321.538,0.002,17.664,0.001,3.584,0.0,-23.04,98.65,-243.2,135.63,1,1,178,102.5
1782883804.968688,14:30:04.968,9241,95.317,24.82,1010.28,0.47,0.517,-0.193,-0.023,-30.298,0.038,-1.119,0.052,-18.431,2.571,455.68,-235.43,3.94,0,214,1,0.0
1782883804.968724,14:30:04.968,9242,95.832,0.0,42949671.03,-0.04,2525.606,3472.289,336312.321,-19.968,-23.543,0.394,-10.752,0.001,0.256,0.02,161.28,-0.01,255,239,255,-0.01
1782883804.968741,14:30:04.968,9243,130.555,0.38,34722.89,504084.481,-1542868.48,-704642.678,-16777.215,0.001,15.872,-0.001,-4.097,-0.001,-22.785,98.65,-243.2,135.63,0,1,184,102.51
1782883804.968755,14:30:04.968,9244,140.885,-235.43,35903246.18,-184549.375,1862270.977,-201326.593,-1493172.225,9.865,-24.32,13.563,0.256,3.0,0.05,24.82,-300.44,0.01,214,1,0,-30.72
1782883804.969040,14:30:04.969,9247,95.377,24.82,1010.28,0.47,0.498,-0.146,-0.017,-30.298,0.038,-1.119,0.052,-18.431,2.571,455.68,-235.43,3.94,0,214,1,0.0
1782883804.969057,14:30:04.969,9248,95.874,0.0,42949671.5,-0.015,2525.606,3472.289,336312.321,-19.968,-23.543,0.394,-10.752,0.001,-4.096,0.01,281.6,-0.01,255,15,0,0.0
1782883804.969069,14:30:04.969,9249,130.615,0.38,34722.89,504084.481,-1559645.952,754975.114,-16777.214,0.001,16.896,0.001,-0.768,-0.001,-22.785,98.65,-243.2,135.63,1,1,142,102.48
1782883805.075262,14:30:05.075,9252,95.427,24.81,1010.27,0.557,0.518,0.322,-0.017,-30.298,0.038,-1.119,0.308,-7.423,2.57,453.12,-237.99,3.94,0,45,2,0.0
1782883805.075300,14:30:05.075,9253,95.948,0.0,3.21,-0.015,2525.606,20249.505,336255.233,-20.224,-23.799,0.394,11.52,0.002,3.072,0.02,168.96,0.01,0,3,0,0.0
1782883805.075319,14:30:05.075,9254,130.665,0.38,202495.05,504024.833,-1542868.48,-704642.678,-16777.215,0.001,13.824,-0.001,-4.609,-0.001,-22.785,98.65,-243.2,135.63,0,1,184,102.51
1782883805.075331,14:30:05.075,9255,140.995,-235.43,35903246.18,-50331.647,905969.665,33554.431,-1509949.44,9.865,-24.32,13.563,0.256,3.0,0.05,24.82,-300.44,0.01,214,1,0,-12.8
1782883805.075649,14:30:05.075,9258,95.487,24.82,1010.28,0.47,0.505,-0.202,-0.011,-30.298,0.038,-1.119,0.052,-18.431,2.571,455.68,-235.43,3.94,0,214,1,0.0
1782883805.075663,14:30:05.075,9259,95.99,0.0,42949670.93,-0.017,2525.606,3472.289,336312.321,-19.968,-23.543,0.394,-10.752,0.001,-4.352,0.01,266.24,-0.01,255,234,255,-0.01
